age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
545,Young Adult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
41599,Elderly,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
43138,Adult,Local-gov,HS-grad,Married-spouse-absent,Other-service,Unmarried,White,Female,Part-time Work,United-States,<=50K
18595,Middle-aged Adult,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,<=50K
26625,Elderly,Self-emp-not-inc,HS-grad,Widowed,Farming-fishing,Not-in-family,White,Male,Overtime Work,United-States,<=50K
45204,Elderly,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,Part-time Work,United-States,<=50K
35692,Adult,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,Female,Extended Work Hours,United-States,>50K
22871,Adult,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
44040,Young Adult,Private,HS-grad,Never-married,Sales,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
17428,Teen,Private,HS-grad,Married-spouse-absent,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
16574,Teen,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,White,Female,Standard Full-time Work,Mexico,<=50K
40998,Teen,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,Extended Work Hours,United-States,<=50K
24766,Adult,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Female,Reduced Full-time Work,Germany,<=50K
19107,Middle-aged Adult,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
23516,Adult,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,Extended Work Hours,United-States,<=50K
47573,Young Adult,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,Overtime Work,United-States,>50K
19569,Adult,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,Overtime Work,United-States,>50K
46192,Middle-aged Adult,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
31122,Adult,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,Reduced Full-time Work,United-States,<=50K
24497,Adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
23222,Middle-aged Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
25176,Young Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
10511,Young Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
15948,Middle-aged Adult,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,Extended Work Hours,United-States,>50K
9883,Adult,Local-gov,HS-grad,Married-spouse-absent,Farming-fishing,Unmarried,Black,Male,Standard Full-time Work,United-States,<=50K
29232,Teen,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Extended Work Hours,United-States,<=50K
8747,Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,<=50K
34139,Adult,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Standard Full-time Work,United-States,<=50K
25409,Teen,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
14539,Young Adult,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,>50K
528,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Extended Work Hours,United-States,<=50K
40756,Middle-aged Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,>50K
27902,Teen,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
19312,Teen,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
960,Teen,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,<=50K
25389,Young Adult,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
67,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,>50K
14222,Middle-aged Adult,Self-emp-not-inc,7th-8th,Divorced,Sales,Other-relative,White,Male,Reduced Full-time Work,Mexico,<=50K
15727,Adult,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,>50K
6688,Teen,State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,Part-time Work,United-States,<=50K
28184,Elderly,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,United-States,<=50K
29947,Adult,Private,9th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Extended Work Hours,Mexico,<=50K
24684,Adult,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
38631,Adult,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,<=50K
2704,Teen,Private,Some-college,Never-married,Other-service,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
31850,Middle-aged Adult,Private,Some-college,Separated,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
20171,Teen,Private,1st-4th,Never-married,Other-service,Other-relative,White,Male,Reduced Full-time Work,El-Salvador,<=50K
28720,Young Adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,>50K
30233,Elderly,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Part-time Work,United-States,<=50K
36800,Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,>50K
34669,Adult,Private,HS-grad,Divorced,Other-service,Unmarried,Black,Female,Standard Full-time Work,Haiti,<=50K
4795,Young Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
29111,Young Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,<=50K
45644,Adult,State-gov,HS-grad,Separated,Sales,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
45696,Middle-aged Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Part-time Work,United-States,<=50K
43114,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
30929,Teen,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
21638,Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,<=50K
39678,Adult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,>50K
26966,Teen,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,Part-time Work,United-States,<=50K
861,Adult,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
47150,Adult,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
31134,Teen,Private,Some-college,Never-married,Protective-serv,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
13742,Teen,Private,11th,Never-married,Sales,Own-child,Black,Female,Part-time Work,United-States,<=50K
42697,Young Adult,Local-gov,Some-college,Divorced,Tech-support,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
72,Young Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Heavy Overtime,United-States,>50K
14236,Adult,Self-emp-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,Overtime Work,United-States,>50K
26673,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
20335,Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,>50K
40782,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
29741,Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,>50K
169,Elderly,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
990,Adult,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
38705,Adult,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,Overtime Work,United-States,>50K
21103,Teen,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,Extended Work Hours,Mexico,<=50K
5682,Middle-aged Adult,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,Heavy Overtime,United-States,>50K
5148,Adult,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
28713,Teen,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
19252,Middle-aged Adult,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,Standard Full-time Work,United-States,>50K
32770,Young Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
25283,Middle-aged Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
16568,Teen,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
23349,Young Adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
43433,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Standard Full-time Work,United-States,<=50K
42502,Teen,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
3224,Middle-aged Adult,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Wife,White,Female,Reduced Full-time Work,United-States,>50K
8906,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Extended Work Hours,United-States,<=50K
16148,Young Adult,Self-emp-inc,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
6645,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
486,Middle-aged Adult,Private,1st-4th,Married-civ-spouse,Prof-specialty,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
47592,Adult,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
24105,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Heavy Overtime,United-States,>50K
28043,Middle-aged Adult,Private,12th,Never-married,Prof-specialty,Not-in-family,Black,Male,Extended Work Hours,United-States,<=50K
12387,Young Adult,Private,5th-6th,Never-married,Handlers-cleaners,Own-child,White,Male,Standard Full-time Work,El-Salvador,<=50K
20534,Adult,Self-emp-not-inc,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
13812,Teen,Private,10th,Never-married,Sales,Own-child,White,Male,Part-time Work,United-States,<=50K
10488,Young Adult,Private,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
33865,Young Adult,Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
18788,Middle-aged Adult,Self-emp-not-inc,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,Extended Work Hours,United-States,<=50K
18613,Young Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
255,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Standard Full-time Work,Cambodia,>50K
22146,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
29506,Young Adult,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
15528,Adult,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,Standard Full-time Work,United-States,>50K
41271,Teen,Private,Some-college,Never-married,Prof-specialty,Other-relative,White,Male,Standard Full-time Work,United-States,<=50K
12049,Adult,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
12218,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
35493,Young Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,Poland,<=50K
36101,Young Adult,Private,Preschool,Never-married,Prof-specialty,Not-in-family,Black,Male,Standard Full-time Work,South,<=50K
13210,Elderly,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
40047,Adult,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,United-States,<=50K
4284,Adult,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
29359,Teen,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,Part-time Work,United-States,<=50K
29079,Adult,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
19674,Young Adult,Private,HS-grad,Separated,Tech-support,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
37521,Adult,Local-gov,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,Italy,<=50K
35991,Young Adult,Private,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
36094,Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
25490,Teen,Private,HS-grad,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
35682,Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Heavy Overtime,United-States,>50K
46295,Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
8303,Adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
33633,Young Adult,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
2330,Middle-aged Adult,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,Standard Full-time Work,Philippines,>50K
37159,Young Adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
43085,Teen,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
2439,Young Adult,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
2062,Teen,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
2226,Young Adult,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
32646,Adult,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
3152,Middle-aged Adult,Self-emp-not-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,Reduced Full-time Work,United-States,>50K
24022,Teen,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
38747,Elderly,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
13687,Adult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,Extended Work Hours,United-States,<=50K
6675,Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
9701,Young Adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
27644,Middle-aged Adult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,Standard Full-time Work,United-States,>50K
42173,Middle-aged Adult,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,Reduced Full-time Work,United-States,>50K
8669,Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extreme Overwork,United-States,>50K
38406,Teen,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
42593,Adult,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Standard Full-time Work,United-States,>50K
16542,Young Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,<=50K
15046,Young Adult,Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
5160,Adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,Standard Full-time Work,United-States,>50K
29316,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
1902,Young Adult,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
17490,Elderly,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
47293,Teen,Private,HS-grad,Separated,Adm-clerical,Other-relative,White,Male,Extended Work Hours,United-States,<=50K
1143,Adult,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
320,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
36349,Teen,Private,Some-college,Never-married,Sales,Own-child,Black,Female,Reduced Full-time Work,United-States,<=50K
44199,Adult,Private,HS-grad,Widowed,Priv-house-serv,Own-child,Black,Female,Reduced Full-time Work,United-States,<=50K
11004,Young Adult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
16661,Young Adult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
20033,Young Adult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,<=50K
202,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
24067,Adult,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,>50K
30225,Teen,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
14092,Teen,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
30236,Teen,State-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
42819,Young Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,Standard Full-time Work,United-States,>50K
40595,Adult,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,Reduced Full-time Work,United-States,<=50K
33671,Middle-aged Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Overtime Work,United-States,>50K
